"locus"	"pdbid"	"qstart2"	"qend2"	"sstart2"	"send2"	"strain_type"	"p_value"
"YER061C"	"3_439_4r8e.1.A_5b3b90003b85d17a599ba0f5"	"NA"	"NA"	3	439	"glycerol_high"	"0.3792"
"YLR359W"	"1_476_5vkw.1.A_5b3d1a5d9ffd1273b2e6e225"	"NA"	"NA"	1	476	"glycerol_high"	"0.9342"
"YLR359W"	"3_478_5nx9.1.A_5b3d1a5d9ffd1273b2e6e220"	"NA"	"NA"	3	478	"glycerol_high"	"0.947"
"YNR067C"	"401_1106_4k35.1.A_5b48e1c1732c1ee0700f871b"	"NA"	"NA"	401	1106	"glycerol_high"	"0.1478"
"YNR067C"	"399_1115_5xbz.1.A_5b48e1c1732c1ee0700f8717"	"NA"	"NA"	399	1115	"glycerol_high"	"0.1311"
"YJL121C"	"6_234_3ovp.1.B_5b3d82ebd60c599872db60f0"	"NA"	"NA"	6	234	"glycerol_high"	"0.9473"
"YML004C"	"25_320_5d7z.1.A_5b3ac4c11a200b7f94e660f2"	"NA"	"NA"	25	320	"glycerol_high"	"0.1183"
"YML004C"	"6_165_4x2a.1.A_5b3ac4c11a200b7f94e660ee"	"NA"	"NA"	6	165	"glycerol_high"	"0.3112"
"YMR217W"	"12_525_2vxo.1.A_5b3dbe138fd6f9803ef0d315"	"NA"	"NA"	12	525	"glycerol_high"	"NA"
"YMR217W"	"12_525_5tw7.1.A_5b3dbe138fd6f9803ef0d311"	"NA"	"NA"	12	525	"glycerol_high"	"NA"
"YIL099W"	"72_545_1ayx.1.A_5b3e78761a200b9eb2cf7d72"	"NA"	"NA"	72	545	"glycerol_high"	"0.9993"
"YER023W"	"2_281_5bse.1.A_5b3ba07f9ffd12cdd1d61d5c"	"NA"	"NA"	2	281	"glycerol_high"	"0.4305"
"YBL039C"	"1_271_3ihl.1.B_5b3f3bcb3b85d1cfbf8d236e"	"NA"	"NA"	1	271	"glycerol_high"	"NA"
"YBL039C"	"1_559_1vco.1.A_5b3f3bcb3b85d1cfbf8d2369"	"NA"	"NA"	1	559	"glycerol_high"	"0.1881"
"YDR487C"	"1_208_1tks.1.A_5b3f18019ffd124a5051d44d"	"NA"	"NA"	1	208	"glycerol_high"	"0.8367"
"YOL066C"	"434_582_3ex8.1.C_5b3f80fa9ffd129a40d03f72"	"NA"	"NA"	434	582	"glycerol_high"	"0.8387"
"YOR286W"	"28_145_3d1p.1.A_5b430311d60c59e04b28855b"	"NA"	"NA"	28	145	"glycerol_high"	"NA"
"YEL006W"	"38_222_1okc.1.A_5a7c651dafa3580f496d363f"	"NA"	"NA"	38	222	"glycerol_high"	"0.2635"
"YKL216W"	"5_314_1dor.1.A_5b3afbdf9ffd121c77ad5e82"	"NA"	"NA"	5	314	"glycerol_high"	"0.8415"
"YNL220W"	"2_425_5i34.1.A_5b3b654fd60c598601722240"	"NA"	"NA"	2	425	"glycerol_high"	"0.1228"
"YGR061C"	"2_1358_4r7g.1.A_5b2413e4afa3585bb32ba00f"	"NA"	"NA"	2	1358	"glycerol_high"	"0.174"
"YGR061C"	"5_1358_4r7g.1.A_5b2413e4afa3585bb32ba00b"	"NA"	"NA"	5	1358	"glycerol_high"	"0.1858"
"YDR408C"	"2_211_1zly.1.A_5b3eb9a7732c1e22c212628f"	"NA"	"NA"	2	211	"glycerol_high"	"0.9499"
"YGL234W"	"2_442_3mjf.1.A_5b43af3c1a200b61c8edef3a"	"NA"	"NA"	2	442	"glycerol_high"	"0.7866"
"YMR300C"	"2_485_1ecb.3.C_5b3d741da03a1bbdb7feda54"	"NA"	"NA"	2	485	"glycerol_high"	"NA"
"YLL015W"	"212_1558_6bhu.1.A_5b0627bcc730d48a0bbca99a"	"NA"	"NA"	212	1558	"glycerol_high"	"2e-04"
"YBR218C"	"556_1170_5ks8.1.D_5b4e91e89ffd12f29b2d8502"	"NA"	"NA"	556	1170	"glycerol_high"	"0.0988"
"YBR218C"	"19_1169_2qf7.1.A_5b4e91e79ffd12f29b2d84ec"	"NA"	"NA"	19	1169	"glycerol_high"	"0.0356"
"YBR218C"	"19_1089_3tw6.1.B_5b4e91e89ffd12f29b2d84f2"	"NA"	"NA"	19	1089	"glycerol_high"	"0.0141"
"YBR218C"	"557_1170_5ks8.1.C_5b4e91e89ffd12f29b2d84fe"	"NA"	"NA"	557	1170	"glycerol_high"	"0.0818"
"YBR218C"	"22_1164_5vz0.1.A_5b4e91e89ffd12f29b2d84f8"	"NA"	"NA"	22	1164	"glycerol_high"	"0.0937"
"YHR068W"	"8_383_1rlz.1.A_5b3abff9a03a1bce2da8b032"	"NA"	"NA"	8	383	"glycerol_high"	"0.6179"
"YBL057C"	"88_208_2zv3.3.B_5b3f108208cc8ffac768633b"	"NA"	"NA"	88	208	"glycerol_high"	"NA"
